,variable,pct_nulos,tiene_centinela_u_outlier_conocido,transformacion_recomendada,notas
0,SeriousDlqin2yrs,0.0,False,"Ninguna (variable objetivo, TARGET)","Fuertemente desbalanceada: clase 1 (incumplimiento) es 6.6838% de las filas (Hallazgo 2.2); condiciona la metrica/estrategia de modelado (D-0.1/D-0.2), no se transforma en el EDA."
1,RevolvingUtilizationOfUnsecuredLines,0.0,True,Winsorizar/capar valores > 1-2 (o flag) + log1p + StandardScaler,"261 filas (0.2486%) con valor > 2, fuera del rango logico de un ratio (Hallazgo 3.3); Pearson vs target casi nulo (-0.001450) pero Spearman relevante (0.239712), posible relacion monotona no lineal (Hallazgo 5.3)."
2,age,0.0,True,Tratar age == 0 como missing e imputar (mediana) + StandardScaler (sin log1p),"1 fila con age == 0, valor invalido (Hallazgo 3.2); skew casi simetrico y log1p empeora el sesgo, por eso no se aplica log1p (Hallazgo 9.1)."
3,NumberOfTime30-59DaysPastDueNotWorse,0.0,True,Tratar 96/98 como centinela/missing (flag es_centinela_pastdue),"185 filas con 98 y 3 con 96 simultaneos en las 3 columnas PastDue (188 en total, 0.1790%, Hallazgo 3.1); fuerte multicolinealidad con las otras 2 columnas PastDue (Pearson > 0.98, Hallazgo 5.4)."
4,DebtRatio,0.0,True,Tratar cola > p97.5 junto con la imputacion de MonthlyIncome + log1p + StandardScaler,"2625 filas (2.5000%) con DebtRatio > p97.5 (3510.0250), 95.1619% de ellas con MonthlyIncome nulo (Hallazgo 3.3); posible artefacto de division por ingreso nulo/casi 0."
5,MonthlyIncome,19.8048,False,Imputar mediana por tramo de edad + flag is_missing + log1p + StandardScaler,"20795 nulos, sin centinela/outlier propio en sus valores, pero patron MNAR: tasa de positivos distinta del resto (Hallazgo 8.1) y fuertemente asociado a la cola extrema de DebtRatio (Hallazgo 8.2/3.3)."
6,NumberOfOpenCreditLinesAndLoans,0.0,False,"Sin transformacion especifica; variable discreta/conteo, evaluar escalado estandar si el modelo lo requiere",No se ha identificado un centinela/outlier especifico en las secciones 3/5; domina el eje PC2 junto con NumberRealEstateLoansOrLines (Hallazgo 6.4).
7,NumberOfTimes90DaysLate,0.0,True,Tratar 96/98 como centinela/missing (flag es_centinela_pastdue),"Comparte los mismos 188 valores centinela 96/98 que las otras 2 columnas PastDue (Hallazgo 3.1); mayor correlacion de Spearman con el target de las 10 variables (0.341830, Hallazgo 5.3)."
8,NumberRealEstateLoansOrLines,0.0,False,"Sin transformacion especifica; variable discreta/conteo, evaluar escalado estandar si el modelo lo requiere",No se ha identificado un centinela/outlier especifico en las secciones 3/5; domina el eje PC2 junto con NumberOfOpenCreditLinesAndLoans (Hallazgo 6.4).
9,NumberOfTime60-89DaysPastDueNotWorse,0.0,True,Tratar 96/98 como centinela/missing (flag es_centinela_pastdue),"Comparte los mismos 188 valores centinela 96/98 que las otras 2 columnas PastDue (Hallazgo 3.1); forma con NumberOfTimes90DaysLate el par mas correlacionado de todo el dataset (Pearson=0.992858, Hallazgo 5.1/5.4)."
10,NumberOfDependents,2.6076,False,Imputar moda/mediana global (0) + flag is_missing,"2738 nulos, subconjunto exacto (100.0000%) de los nulos de MonthlyIncome (Hallazgo 8.3); sin centinela/outlier de codificacion propio detectado en la seccion 3."
